Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-08-24T04:00:00Z,AMD,84.55,-117,Market On Open,Filled,-9892.35, 
2020-08-27T20:00:00Z,TSLA,153.1779847,-1,Market On Open,Filled,-153.1779847, 
2020-08-27T20:00:00Z,CRM,267.66031,33,Market On Open,Filled,8832.790229, 
2020-08-27T20:00:00Z,AAPL,122.0626008,-35,Market On Open,Filled,-4272.191028, 
2020-08-27T20:00:00Z,ZM,298.92,13,Market On Open,Filled,3885.96, 
2020-08-27T20:00:00Z,FB,292.8518736,3,Market On Open,Filled,878.5556207, 
2020-08-27T20:00:00Z,NVDA,12.60116992,9,Market On Open,Filled,113.4105293, 
2020-08-27T20:00:00Z,PYPL,203.8401823,-2,Market On Open,Filled,-407.6803645, 
2020-08-31T04:00:00Z,CRM,266.093316,1,Market On Open,Filled,266.093316, 
2020-08-31T04:00:00Z,ZM,304,10,Market On Open,Filled,3040, 
2020-08-31T04:00:00Z,NVDA,13.14775791,147,Market On Open,Filled,1932.720412, 
2020-08-31T04:00:00Z,AAPL,123.6804146,-38,Market On Open,Filled,-4699.855756, 
2020-08-31T04:00:00Z,FB,291.6612171,-2,Market On Open,Filled,-583.3224342, 
2020-08-31T04:00:00Z,ADBE,513.86,2,Market On Open,Filled,1027.72, 
2020-09-03T04:00:00Z,TSLA,135.7066531,12,Market On Open,Filled,1628.479837, 
2020-09-03T04:00:00Z,ZM,0,9,Market On Open,Invalid,0, 
2020-09-03T04:00:00Z,CRM,266.6649239,-16,Market On Open,Filled,-4266.638782, 
2020-09-03T04:00:00Z,NVDA,13.75600836,17,Market On Open,Filled,233.8521421, 
2020-09-03T04:00:00Z,AAPL,123.0022891,2,Market On Open,Filled,246.0045782, 
2020-09-03T04:00:00Z,FB,293.5960338,1,Market On Open,Filled,293.5960338, 
2020-09-03T04:00:00Z,ADBE,527.63,1,Market On Open,Filled,527.63, 
2020-09-03T20:00:00Z,AAPL,116.250096,-22,Market On Open,Filled,-2557.502112,Liquidated 
2020-09-03T20:00:00Z,MSFT,205.0311383,-4,Market On Open,Filled,-820.1245533,Liquidated 
2020-09-03T20:00:00Z,TSLA,134.2333199,-95,Market On Open,Filled,-12752.16539,Liquidated 
2020-09-03T20:00:00Z,AMD,81.4,-16,Market On Open,Filled,-1302.4,Liquidated 
2020-09-04T20:00:00Z,HD,233.6363624,-6,Market On Open,Filled,-1401.818175,Liquidated 
2020-09-04T20:00:00Z,NVDA,11.67690731,-324,Market On Open,Filled,-3783.31797,Liquidated 
2020-09-04T20:00:00Z,PYPL,184.235,-7,Market On Open,Filled,-1289.645,Liquidated 
2020-09-04T20:00:00Z,SHOP,92.091,-22,Market On Open,Filled,-2026.002,Liquidated 
2020-09-04T20:00:00Z,ZM,350,-23,Market On Open,Filled,-8050,Liquidated 
2020-09-08T20:00:00Z,ADBE,474,-3,Market On Open,Filled,-1422,Liquidated 
2020-09-08T20:00:00Z,AMZN,159.7737893,-7,Market On Open,Filled,-1118.416525,Liquidated 
2020-09-08T20:00:00Z,CRM,242.8347891,-29,Market On Open,Filled,-7042.208884,Liquidated 
2020-09-08T20:00:00Z,FB,273.6525385,-7,Market On Open,Filled,-1915.567769,Liquidated 
2020-09-09T20:00:00Z,PFE,25.75925712,-52,Market On Open,Filled,-1339.48137,Liquidated 
2020-09-09T20:00:00Z,ZM,399.69,29,Market On Open,Filled,11591.01, 
2020-09-09T20:00:00Z,TSLA,129.1466538,89,Market On Open,Filled,11494.05218, 
2020-09-09T20:00:00Z,CRM,251.054116,23,Market On Open,Filled,5774.244668, 
2020-09-09T20:00:00Z,NVDA,12.9585586,262,Market On Open,Filled,3395.142353, 
2020-09-09T20:00:00Z,AAPL,116.6085338,18,Market On Open,Filled,2098.953608, 
2020-09-09T20:00:00Z,AMD,83.08,20,Market On Open,Filled,1661.6, 
2020-09-09T20:00:00Z,ADBE,491.86,2,Market On Open,Filled,983.72, 
2020-09-14T20:00:00Z,ZM,410,-10,Market On Open,Filled,-4100, 
2020-09-14T20:00:00Z,TSLA,145.6499854,-59,Market On Open,Filled,-8593.349141, 
2020-09-14T20:00:00Z,CRM,247.5456263,-13,Market On Open,Filled,-3218.093142, 
2020-09-14T20:00:00Z,NVDA,13.23741681,-145,Market On Open,Filled,-1919.425438, 
2020-09-14T20:00:00Z,BRK.B,220.08,3,Market On Open,Filled,660.24, 
